"path","bytes","sha256"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\browser-helper.stderr.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\browser-helper.stdout.log","360","24dee0304b6b93546b4dfb41a4836c198e31f70e3b21c4fa3b64f3835a557a95"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\file_authority_probe.cjs","2820","ff659684a62fe477c8bdef0df8431c20851e51401b9f5f0c2424c75259d29e3d"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\FINDINGS.md","10688","6ea5400be24cecfac7db352fdc6d994afc8bc308424d4b9dba5ce57fcd67551b"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\G1-SEC-01-file-localstorage.json","1004","471a7862a95154c715c665b1deed846343188e3d76b5a64b2cf3691a31853e27"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\G1-SEC-02-05-07-authority-failure.json","950","9dc580adccbc604f6ae1d13e97e369edb99db68874fd5f0feaef61d8d5ca7344"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\G1-SEC-03-04-runtime.json","1750","24732c480b0d941244412d14a42f0d2c6bc967c4944f2d1aa6c9452a6b2065b9"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\G1-SEC-06-shallow-validation.json","854","984431b576e20ab663ac910e69d347898ef87bf3ff6b6e8cc82014475e3ee220"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\G1-SEC-static-scope.csv","5532","19fa621250f056dfeffa622bc975084b4d5effb985047404ebe9ff154f4e2a6b"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\guard-browser.json","3227","9b4e069c0ee5521f900e8fe13ed02b475ccf2bcdc4d75a1ece7e65817296a81e"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\guard-runtime.json","3545","2e10a54d7f8778f1dca1f814bebf6ec3d200076787415d9c7f67aa9c95cf3555"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\guard-validation.json","3431","03a8b20dca2680a146f62e3c30efc20204ee9dc9431224bf3e2f4b1fb69ca962"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\helper.stderr.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\helper.stdout.log","412","e241ed1360e0b82d1a97739b87fd4332d7bcef2bb38b13a2a850cd4e06793f9f"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\localhost_authority_failure_probe.cjs","4186","40f33bb2c4ea7cd1bc2419be6f260c589db7c96062f87671af806a69b37c64b7"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\runtime_probe.ps1","2703","893f821a413f520cc176788da8bc488d65e3d79812a5c418c4043f1010856d7f"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\shallow_validation_probe.cjs","2675","94d5204ec240db5504bc06a019a27fce5303e472cddd11c22a1831119b90d7e1"
"C:\Users\samue\Documents\Projects\Active\MechLex_Visual_Admin_Fork\codex-qa\evidence\goal1\security-storage\static_scope.ps1","626","06df9df4dcd0bfd237d20c5508928f22e8097d1db9a8ee85ebbf591344ec7024"
