"Path","SHA256","Bytes","Category","Supports"
"codex-qa/evidence/baseline/backup-and-history-sha256.csv","ffb932e7f67f538ddbc6ae8370fb7405f0e24d83386d6ddc09629a8220a0b513","8806","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/documentation-sha256.csv","19ce35582f7d01ae44de78f9b82bac9a0d58c2d9704d67e884a3cccb2b7614d3","8728","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/frozen-tag.zip","2e70276541322421431aa2fe3d00cbe537020b762ef530d4e75e04d10b3c9179","10692280","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/frozen-tag-sha256.csv","badaa5afbdf797e79e6d494d11147fb14ff116149b0ebdb64470377dfb9c3f69","61343","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/h0a-category-manifest-summary.json","65aee71b207fbf3be18055c9a9a6a276f78dc764206758a6946a2d03353cfdd1","1580","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/h0a-summary.json","3cc8052281abdcefc77c7310a79f458df401d7c83d20331f4b5f2d3b75e53619","4130","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/image-assets-sha256.csv","2f44718161cd7acd677958636f4b33d99f92d7bd2167508d1587bf1ce2c6a6b9","5906","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/mutable-shared-data-sha256.csv","3335a2e232544f27370ae3f0471d9020408132aeb0c40b809f5d0864b75496a7","9013","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/operational-runtime-sha256.csv","858a614e8c08bb587f7ab34c15079b83d98a85406d4a25347fa32de214f00d3a","185","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/qa-files-sha256.csv","eb13d7a65de85dbc60ad984bcc0301b97787414008f9a9d7ddfb8a37834caae3","61292","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/real-shared-readonly-sha256.csv","0828ffddc3b06b99ea293cf26037e9bf77ae691998f2416cbf705db9ed755266","6612","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/runtime-closure-sha256.csv","14b31fb4a5033807f8d5265afcd4bf70a412bd7796d17870373a61f5fefc9e25","1821","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/shared-baseline-copy-sha256.csv","0828ffddc3b06b99ea293cf26037e9bf77ae691998f2416cbf705db9ed755266","6612","H0-A baseline","H0-A"
"codex-qa/evidence/baseline/workspace-verification.csv","52262ce43eec3903da7799b03bac59ac6fad4dec1247210cef4234fafa74f4b5","1214","H0-A baseline","H0-A"
"codex-qa/evidence/preactivation/01_git_identity.json","b25dbc8aa5592bdac0728a14b154837595a811d4935fc81eb37895654641b031","866","Git identity/worktree","HC-01"
